title,price_raw,rating,url,image
"Telefon mobil Samsung Galaxy A16, Dual SIM, 128GB, 4GB RAM, 4G, Light Green","582,29Lei",,https://www.emag.ro/telefon-mobil-samsung-galaxy-a16-dual-sim-128gb-4gb-ram-4g-light-green-sm-a165flgbeue/pd/DJJ1YZYBM/,https://s13emagst.akamaized.net/products/77658/77657961/images/res_6abd801982d1110858a769e6922f610a.jpg?width=720&height=720&hash=734F6A31AADD14C5C0154E42ADA6B420
"Telefon mobil Samsung Galaxy A16, Dual SIM, 128GB, 4GB RAM, 4G, Black","580,72Lei",,https://www.emag.ro/telefon-mobil-samsung-galaxy-a16-dual-sim-128gb-4gb-ram-4g-black-sm-a165fzkbeue/pd/DVJ1YZYBM/,https://s13emagst.akamaized.net/products/77658/77657963/images/res_b2f35acf45f245e873c00a0db780dbfe.jpg?width=720&height=720&hash=375EA7F9ECA7342667FF0D5F94DC5AC3
"Telefon mobil Motorola g05, Dual SIM, 256GB, 8GB RAM, Denim Blue","499,99Lei",,https://www.emag.ro/telefon-mobil-motorola-g05-dual-sim-256gb-8gb-ram-denim-blue-pb6l0063ro/pd/DXZ3VH3BM/,https://s13emagst.akamaized.net/products/96586/96585999/images/res_390fd24a03cb7df3f39e50c57fa697f3.jpg?width=720&height=720&hash=47F8CF3B91C7C62D1125669DB2ED422E
"Telefon mobil Motorola Edge 60 Fusion, Dual SIM, 12GB RAM, 256GB, 5G, Pantone Amazonite","1199,99Lei",,https://www.emag.ro/telefon-mobil-motorola-edge-60-fusion-dual-sim-12gb-ram-256gb-5g-pantone-amazonite-pb7e0060ro/pd/D0DZHK3BM/,https://s13emagst.akamaized.net/products/93625/93624660/images/res_99d09507e53a5a308f7389c5934d728a.jpg?width=720&height=720&hash=5874CA29F14C9790867BC10C899C2BF3
"Telefon mobil Motorola moto g05, Dual SIM, 256GB, 8GB RAM, 5200 mAh, Forest Green","499,99Lei",,https://www.emag.ro/telefon-mobil-motorola-moto-g05-dual-sim-256gb-8gb-ram-5200-mah-forest-green-pb6l0026ro/pd/DBGJV23BM/,https://s13emagst.akamaized.net/products/90135/90134054/images/res_46bd5e87d33ff0a2d509a0e0c3fd6ed7.jpg?width=720&height=720&hash=4325AE99D209EF52705DB529C0B7029A
"Telefon mobil Xiaomi Redmi Note 14, 6GB RAM, 128GB, Midnight Black","599,99Lei",,https://www.emag.ro/telefon-mobil-xiaomi-redmi-note-14-6gb-ram-128gb-midnight-black-mzb0j01eu/pd/DCH3DGYBM/,https://s13emagst.akamaized.net/products/84223/84222401/images/res_94cdb9d2d0ac21dcf4c389b72332ae0e.jpg?width=720&height=720&hash=C1C7862A9332110969CF68AE3D419BCD
"Telefon mobil Apple iPhone XR, 64GB, Black","1259,99Lei",,https://www.emag.ro/telefon-mobil-apple-iphone-xr-64gb-black-dhsy9vbbm/pd/DHSY9VBBM/,https://s13emagst.akamaized.net/products/17043/17042909/images/res_beeb2a5b938cd2fc51ad063da79f4321.jpg?width=720&height=720&hash=0B3E3885F6901DBA254C7F15588C93E5
"Telefon mobil Samsung Galaxy S25 Ultra, Dual SIM, 12GB RAM, 256GB, 5G, Jetblack","4849,00Lei",,https://www.emag.ro/telefon-mobil-samsung-galaxy-s25-ultra-dual-sim-12gb-ram-256gb-5g-jetblack-sm-s938bakdeue/pd/D6JW5X3BM/,https://s13emagst.akamaized.net/products/98698/98697145/images/res_c090c80854e8632d90b19998cdcad1ee.jpg?width=720&height=720&hash=12D316365747F96863C789350D8EB9A8
"Telefon mobil Samsung Galaxy A16, Dual SIM, 128GB, 4GB RAM, 4G, Gray","635,01Lei",,https://www.emag.ro/telefon-mobil-samsung-galaxy-a16-dual-sim-128gb-4gb-ram-4g-gray-sm-a165fzabeue/pd/DSJ1YZYBM/,https://s13emagst.akamaized.net/products/77658/77657962/images/res_2020867206cbc712d2e88e09958818c0.jpg?width=720&height=720&hash=B08906A3AEFD52C76DD3BC219FD943B7
"Telefon mobil Xiaomi Redmi Note 14, 6GB RAM, 128GB, Ocean Blue","599,99Lei",,https://www.emag.ro/telefon-mobil-xiaomi-redmi-note-14-6gb-ram-128gb-ocean-blue-mzb0j09eu/pd/DQH3DGYBM/,https://s13emagst.akamaized.net/products/84223/84222405/images/res_2d62504301e458fcb97044fefa7cf673.jpg?width=720&height=720&hash=A6AC8CA71304D4F6B66B4365B917801F
"Telefon mobil Nokia 105 (2019), Dual SIM, Black","64,99Lei",,https://www.emag.ro/telefon-mobil-nokia-105-2019-dual-sim-black-16kigb01a07/pd/DZ3MR6BBM/,https://s13emagst.akamaized.net/products/25681/25680918/images/res_ecd782ea778de612d0fc6e0f34a287b6.jpg?width=720&height=720&hash=9C43C87C2C97D70DB8DC55A9EBB6DC21
"Telefon mobil Xiaomi Redmi A5, 3GB RAM, 64GB, 4G, Black","329,99Lei",,https://www.emag.ro/telefon-mobil-xiaomi-redmi-a5-3gb-ram-64gb-4g-black-mzb0jseeu/pd/DY9N1J3BM/,https://s13emagst.akamaized.net/products/94270/94269622/images/res_e3dbc87321b5fad585ba06fce81565b2.jpg?width=720&height=720&hash=B23AA476A4655662416330F2AD924202
"Telefon mobil Motorola Moto g06, 4GB RAM, 128GB, Tapestry","399,99Lei",,https://www.emag.ro/telefon-mobil-motorola-moto-g06-4gb-ram-128gb-tapestry-pba20023ro/pd/D67JB13BM/,https://s13emagst.akamaized.net/products/107144/107143994/images/res_2bbe21e909a46be44e918ac58eef9910.jpg?width=720&height=720&hash=57ECA55AEE28713F3A87F8010F38DAD2
"Telefon mobil Samsung Galaxy A56, Dual SIM, 8GB RAM, 256GB, 5G, Awesome Graphite","1709,99Lei",,https://www.emag.ro/telefon-mobil-samsung-galaxy-a56-dual-sim-8gb-ram-256gb-5g-awesome-graphite-sm-a566bzkceue/pd/DQZ5X33BM/,https://s13emagst.akamaized.net/products/89071/89070990/images/res_17ed17e93a24daeb8ced5da38bc61a55.jpg?width=720&height=720&hash=9AC43C91215692DD3B4D5FF8957DD585
