title,price_raw,price_clean,rating,url,image,spec_Afisare - Dimensiune ecran,spec_Afisare - Functii display,spec_Afisare - Rezolutie (pixeli),spec_Afisare - Tip display,spec_Alimentare - Capacitate baterie,spec_Alimentare - Incarcator inclus,spec_Alimentare - Tip baterie,spec_Memorie - Memorie RAM,spec_Memorie - Memorie interna,spec_Memorie - Slot card memorie
"Telefon mobil pentru seniori, cu meniul in limba Romana, taste mari, buton SOS, micro SIM, retea 4G, Functie Apelare Rapida, Bluetooth, Radio, Camera, Lanterna","237,00 Lei",237.00 Lei,4.94(1173),https://www.emag.ro/telefon-mobil-pentru-seniori-cu-meniul-in-limba-romana-taste-mari-buton-sos-micro-sim-retea-4g-functie-apelare-rapida-bluetooth-radio-camera-lanterna-telefon-c1-4g/pd/D4QJLRYBM/?ref=sponsored_products_search_r_1_1&recid=recads_1_6a6ff7da4e204ab2ed25b9030cb8eaf105ad11010826c196812ecda821fdd660_1767467704&aid=edee7abf-e656-11f0-801c-06eaf0d4245d%7Ck%7C230666625&oid=230666625&scenario_ID=1,https://s13emagst.akamaized.net/products/80989/80988077/images/res_8fa578c970729c85d4d0cfcf6f7c4820.png?width=720&height=720&hash=A79ACE6B9A313F943E6C921C91A056F6,1.77 inch,,,LCD,1800 mAh,Da,Li-Ion,128 MB,48 MB,MicroSD
"Telefon mobil Oukitel WP52, 5G, Dual SIM, Octa-Core Dimensity 6100+, 6.6-inch IPS, 256GB, Senzor Amprenta, 6500mAh, IP68/IP69K, NFC, Android 14, Blue","795,99 Lei",795.99 Lei,,https://www.emag.ro/telefon-mobil-oukitel-wp52-5g-dual-sim-octa-core-dimensity-6100-6-6-inch-ips-256gb-senzor-amprenta-6500mah-ip68-ip69k-nfc-android-14-blue-wp50ble/pd/DR70683BM/?ref=sponsored_products_search_r_1_2&recid=recads_1_6a6ff7da4e204ab2ed25b9030cb8eaf105ad11010826c196812ecda821fdd660_1767467704&aid=a222f1e4-df2c-11f0-801c-06eaf0d4245d&oid=304679050&scenario_ID=1,https://s13emagst.akamaized.net/products/112561/112560188/images/res_580dd962acb6248039620c3ce06de096.png?width=720&height=720&hash=14C935DD3196C0EAA2B4015EBEAF633C,6.6 inch,"Corning Gorilla Glass 5
267 PPI
HD+
60 Hz
Touch screen",720 x 1612,IPS,6500 mAh,Da,Li-Po,4 GB,256 GB,MicroSD
"Telefon mobil Samsung Galaxy A16, Dual SIM, 128GB, 4GB RAM, 4G, Black","550,53 Lei",550.53 Lei,4.64(320),https://www.emag.ro/telefon-mobil-samsung-galaxy-a16-dual-sim-128gb-4gb-ram-4g-black-sm-a165fzkbeue/pd/DVJ1YZYBM/,https://s13emagst.akamaized.net/products/77658/77657963/images/res_b2f35acf45f245e873c00a0db780dbfe.jpg?width=720&height=720&hash=375EA7F9ECA7342667FF0D5F94DC5AC3,6.7 inch,FHD,1080 x 2340,Super AMOLED,5000 mAh,,,4 GB,128 GB,MicroSD
"Telefon mobil Samsung Galaxy A36, Dual SIM, 8GB RAM, 256GB, 5G, Awesome Graphite","1.269,99 Lei",1269.99 Lei,4.65(99),https://www.emag.ro/telefon-mobil-samsung-galaxy-a36-dual-sim-8gb-ram-256gb-5g-awesome-graphite-sm-a366bzkgeue/pd/D9Z5X33BM/,https://s13emagst.akamaized.net/products/89071/89070979/images/res_e113c383df8cfd84e9836c70be5d21ad.jpg?width=720&height=720&hash=891737BB4310E982D487C6D9E1BE8D7A,6.7 inch,120 Hz,1080 x 2340,Super AMOLED,5000 mAh,,,8 GB,256 GB,
"Telefon mobil Oukitel WP50, 5G, Dual SIM, Octa-Core Dimensity 6100+, IPS 6.6' HD+, 16GB RAM, 256GB, Senzor Amprenta, Face Unlock, 6500mAh, IP68/IP69K, NFC, Android 14, Dark Blue","795,99 Lei",795.99 Lei,,https://www.emag.ro/telefon-mobil-oukitel-wp50-5g-dual-sim-octa-core-dimensity-6100-ips-6-6-hd-16gb-ram-256gb-senzor-amprenta-face-unlock-6500mah-ip68-ip69k-nfc-android-14-dark-blue-00003208/pd/D0VHK83BM/?ref=sponsored_products_search_r_1_3&recid=recads_1_6a6ff7da4e204ab2ed25b9030cb8eaf105ad11010826c196812ecda821fdd660_1767467704&aid=15d39e36-df22-11f0-801c-06eaf0d4245d&oid=302969998&scenario_ID=1,https://s13emagst.akamaized.net/products/111996/111995508/images/res_2c06ba1ecaeed5d37f9145d26f1df431.png?width=720&height=720&hash=79E5952B520D03151FF70A22263D1E94,6.6 inch,"Corning Gorilla Glass 5
267 PPI
HD+
60 Hz
Touch screen",720 x 1612,IPS,6500 mAh,Da,Li-Po,16 GB,256 GB,MicroSD
"Telefon mobil Samsung Galaxy A16, Dual SIM, 128GB, 4GB RAM, 4G, Gray","586,75 Lei",586.75 Lei,4.64(320),https://www.emag.ro/telefon-mobil-samsung-galaxy-a16-dual-sim-128gb-4gb-ram-4g-gray-sm-a165fzabeue/pd/DSJ1YZYBM/,https://s13emagst.akamaized.net/products/77658/77657962/images/res_2020867206cbc712d2e88e09958818c0.jpg?width=720&height=720&hash=B08906A3AEFD52C76DD3BC219FD943B7,6.7 inch,FHD,1080 x 2340,Super AMOLED,5000 mAh,,,4 GB,128 GB,MicroSD
"Telefon mobil Samsung Galaxy A17, Dual SIM, 4GB RAM, 128GB, 4G, Black","649,99 Lei",649.99 Lei,5(1),https://www.emag.ro/telefon-mobil-samsung-galaxy-a17-dual-sim-4gb-ram-128gb-4g-black-sm-a175fzkbeue/pd/DN57K93BM/,https://s13emagst.akamaized.net/products/99061/99060695/images/res_ea5f94180fe4e9294b5011b8c7eacb91.jpg?width=720&height=720&hash=EFD7D000A23849F3659A4CBDAA860E22,6.7 inch,"16 milioane de culori
Rata de reimprospatare de 90 Hz",1080 x 2340,Super AMOLED,5000 mAh,Nu,,4 GB,128 GB,
"Telefon Mobil Seniori cu Taste Mari, CZAY® Meniu in Limba Romana, Autonomie 7 Zile, Volum Puternic Reglabil, Buton SOS, 2G, Dual Sim, Ecran LCD Generos, Color, Usor de Folosit pentru Varstnici, Pensionari si Bunici, Lanterna, Radio, Bluetooth, Rezistent","225,99 Lei",225.99 Lei,4.68(40),https://www.emag.ro/telefon-mobil-seniori-cu-taste-mari-czayr-meniu-in-limba-romana-autonomie-7-zile-volum-puternic-reglabil-buton-sos-2g-dual-sim-ecran-lcd-generos-color-usor-de-folosit-pentru-varstnici-pensionari-si-bu/pd/D97JJ5YBM/?ref=sponsored_products_search_r_1_4&recid=recads_1_6a6ff7da4e204ab2ed25b9030cb8eaf105ad11010826c196812ecda821fdd660_1767467704&aid=392ee012-e7ba-11f0-801c-06eaf0d4245d%7Ck%7C212362046&oid=212362046&scenario_ID=1,https://s13emagst.akamaized.net/products/81763/81762049/images/res_09c43b7dac3dc4e10ca332c6d733ed84.png?width=720&height=720&hash=66C806B8524F8A77882C1DE542FDD5CA,1.77 inch,,128 x 160,LCD,1000 mAh,Da,BL-5C,32 MB,32 MB,SD
"Telefon mobil Apple iPhone XR, 64GB, Black","1.279,99 Lei",1279.99 Lei,4.66(396),https://www.emag.ro/telefon-mobil-apple-iphone-xr-64gb-black-dhsy9vbbm/pd/DHSY9VBBM/,https://s13emagst.akamaized.net/products/17043/17042909/images/res_beeb2a5b938cd2fc51ad063da79f4321.jpg?width=720&height=720&hash=0B3E3885F6901DBA254C7F15588C93E5,6.1 inch,,828 x 1792,IPS,2942 mAh,,Li-Ion,3 GB,64 GB,
"Telefon mobil Nokia 105 (2017), Black","60,00 Lei",60.00 Lei,4.08(168),https://www.emag.ro/telefon-mobil-nokia-105-2017-black-a00028542/pd/DLP32NBBM/,https://s13emagst.akamaized.net/products/8435/8434129/images/res_fecb320696df949c7277dd5b37d6487c.jpg?width=720&height=720&hash=1A3F726F053DE1A80FF3EF1A679C8998,1.4 inch,,120 x 160,TFT,800 mAh,,Li-Ion,4 MB,4 MB,
